1,2
ADE = BDE = association des étudiants,"le nom d'association : ADE GRIFFINS ENSAH c’est  association des étudiants de l’école nationale des sciences appliquées Al hoceima , pour les contacter :adegriffinsensah@gmail.com , page  instagram d'ADE : https://www.instagram.com/ade.griffins.ensah/ "
01 Club ," est un groupe actif d'élèves ingénieurs dont l'objectif commun est de dynamiser la scène événementielle informatique , améliorer les compétences personnelles et professionnelles des étudiants en programmant plusieurs activités (formations, workshops et compétitions....).
Le 01 club a marqué sa présence aussi par l'organisation de ""TECH EXPERIENCE""  qui est le plus grand évènement d’IT au nord du Royaume , organisé à L’ENSAH. page  instagram de 01 CLUB : https://www.instagram.com/01club_ensah/"
TECH EXPERIENCE evenement ,"TECH EXPERIENCE is the premier technology and innovation event in the North of Morocco, attracting attendees from across the region and beyond. more details about the event This three-day event showcases the latest in emerging technologies and digital innovation, with a focus on topics such as artificial intelligence, blockchain, IoT, and the social media revolution.Featuring high-profile speakers, engaging workshops, and informative panel discussions, TECH EXPERIENCE provides a unique platform for technology enthusiasts, business leaders, and industry experts to connect, collaborate, and share knowledge.Organized by the National School of Applied Sciences of Al Hoceima, "
Datai club = Data club ,"DatAi Club is a university club born from the passion of engineering students for data and artificial intelligence Our goal is to Spark innovation, elevate skills, build a dynamic learning platform, and explore the limitless horizons of data and AI.Founded 2020 ,page  instagram du club datai : https://www.instagram.com/datai_club/"
Club GEE = club ge2,"le club ge2  s'intéresse à l'étude de l'eau et l'environnement au sein de ENSAH , On programme des sorties, journées ,évenements et formations à propos tout ce ce qui en relation aux besoins de l'éleve ingénieur en gee pour développer ses compétences dans le domaine , page instagram  de Gee club : https://www.instagram.com/club_g2e/"
Club Nadi Al-Quran = نادي القرآن de ensah ,"Le Club Nadi Al-Quran de l'École Nationale des Sciences Appliquées d'Al Hoceima, fondé en 2022, est constitué d'un groupe d'étudiants engagés dans une mission à but non lucratif centrée sur le Coran. Le club vise à renforcer le lien avec le Coran à travers sa récitation, sa réflexion et la compréhension de ses enseignements. Ses objectifs incluent la sensibilisation à l'importance du Coran, l'apprentissage des règles de Tajwid, l'organisation de concours, le soutien aux initiatives sociales et la promotion de l'esprit de service public et de solidarité au sein de la communauté.  page instagram  de نادي للقرآن الكريم  https://www.instagram.com/club_quran_ensah/"
enactus ensah,"L’équipe ENACTUS de ENSAH,regroupe des élèves ingénieurs. Elle fait partie de l’ONG mondiale Enactus, une organisation à but non lucratif présente dans plus de 48 pays, y compris le Maroc, qui vise à promouvoir le collaboration entre les entreprises, les universités, les grandes écoles et la société civile. Enactus œuvre pour améliorer la qualité de vie à travers l’enseignement des principes de l’économie de marché, de l’entrepreneuriat, de la réussite financière et de l’éthique dans les affaires. Fidèle à son engagement de « favoriser le progrès sociétal à travers l’action entrepreneuriale », l’équipe vise à implémenter des projets d’entrepreneuriat social pour améliorer la vie des personnes en situation difficile, former les leaders de demain et contribuer au développement socio-économique de la région d'Al Hoceima et du Maroc. Ses activités incluent la mise en place de partenariats, la participation à des compétitions Enactus régionales et nationales, et l’organisation de séminaires visant à renforcer l’entrepreneuriat et l’innovation.  page  instagram du club enactus :   https://www.instagram.com/ena.ctus_ensah"
 Club Génie Civil  / GC Club,"Le Club Génie Civil d est un club pédagogique dédié à promouvoir la culture scientifique et technique en Génie Civil auprès des élèves ingénieurs de l’école. À travers diverses activités, le club offre des formations théoriques et pratiques, des cours de soutien, des visites de chantiers, des webinaires, des conférences et des partages d'expérience, ainsi que des ateliers interactifs. Il organise également le grand événement annuel ""ENSAH CONSTRUCTORS"", qui constitue une occasion unique de renforcer les compétences et d'encourager l'innovation dans le domaine du Génie Civil. page  instagram  de gc club : https://www.instagram.com/club.gc.ensah/"
autres clubs ,"autre clubs existants  dans : CLUB SPORT ET LOISIRS  , CHESS CLUB  
, club 𝐄𝐍𝐓𝐄𝐑𝐓𝐀𝐈𝐍𝐌𝐄𝐍𝐓  , Club voyage  , Ultras ensah  , Club Social et Solidarité , Mechanical engineering club"
𝐂𝐋𝐔𝐁 𝐂𝐔𝐋𝐓𝐔𝐑𝐄𝐋 𝐄𝐓 𝐓𝐄𝐂𝐇𝐍𝐎𝐋𝐎𝐆𝐈𝐐𝐔𝐄 = cct ,"ʜᴇʀᴇ ᴡʜᴇʀᴇ ᴄᴜʟᴛᴜʀᴇ ᴀɴᴅ ᴛᴇᴄʜɴᴏʟᴏɢʏ ᴍᴇᴇᴛꜱ .ꜱɪɴᴄᴇ 2010, ᴡᴇ ᴀʀᴇ ᴍᴏʀᴇ ᴛʜᴀɴ ᴄʟᴜʙ, ᴡᴇ ᴀʀᴇ ꜰᴀᴍɪʟʏ , ᴀʀᴛ , ʟɪᴛᴇʀᴀᴛᴜʀᴇ , ᴇᴠᴇɴᴛꜱ ,ᴄᴏᴀᴄʜɪɴɢ . page  instagram du  club cct : https://www.instagram.com/cct.ensah/"
more about  TECH EXPERIENCE,"TECH EXPERIENCE has been recognized as the largest and most prestigious technology event in the region, winning multiple awards including the prestigious Maroc Web Awards. With a history of successful editions, this year's event promises to be bigger and better than ever, with an exciting lineup of speakers and sponsors from across the industry.Whether you're looking to stay up-to-date on the latest technology trends, network with like-minded professionals, or discover innovative solutions for your business, TECH EXPERIENCE is the must-attend event of the year for anyone interested in the world of technology and innovation.Founded 2016, page instagram  de tech experience :https://www.instagram.com/tech_expr/"
